,MFACTOR,STATE,ST_CASE,VEH_NO
11478,0,12,121644,1
11479,0,12,121644,2
11480,0,12,121645,1
11481,99,12,121646,1
11482,99,12,121646,2
11483,0,12,121647,1
11484,0,12,121648,1
11485,99,12,121649,1
11486,0,12,121651,1
11487,0,12,121654,1
11488,0,12,121655,1
11489,0,12,121656,1
11490,0,12,121657,1
11491,17,12,121657,2
11492,0,12,121658,1
11493,0,12,121659,1
11494,0,12,121659,2
11495,0,12,121660,1
11496,0,12,121660,2
11497,0,12,121661,1
11498,0,12,121661,2
11499,0,12,121662,1
11500,99,12,121663,1
11501,99,12,121663,2
11502,0,12,121664,1
11503,0,12,121665,1
11504,0,12,121666,1
11505,1,12,121667,1
11506,0,12,121668,1
11507,0,12,121668,2
11508,0,12,121669,1
11509,0,12,121671,1
11510,0,12,121671,2
11511,0,12,121671,3
11512,0,12,121672,1
11513,0,12,121673,1
11514,0,12,121673,2
11515,0,12,121674,1
11516,0,12,121674,2
11517,0,12,121675,1
11518,0,12,121676,1
11519,1,12,121677,1
11520,0,12,121678,1
11521,0,12,121679,1
11522,0,12,121679,2
11523,0,12,121679,3
11524,0,12,121680,1
11525,0,12,121680,2
11526,0,12,121681,1
11527,99,12,121682,1
11528,0,12,121682,2
11529,0,12,121683,1
11530,0,12,121684,1
11531,0,12,121684,2
11532,0,12,121685,1
11533,0,12,121685,2
11534,0,12,121686,1
11535,0,12,121686,2
11536,0,12,121687,1
11537,0,12,121688,1
11538,0,12,121688,2
11539,99,12,121688,3
11540,0,12,121689,1
11541,0,12,121690,1
11542,0,12,121691,1
11543,0,12,121692,1
11544,0,12,121692,2
11545,0,12,121693,1
11546,0,12,121694,1
11547,0,12,121696,1
11548,0,12,121697,1
11549,0,12,121698,1
11550,0,12,121698,2
11551,0,12,121698,3
11552,0,12,121699,1
11553,0,12,121699,2
11554,0,12,121700,1
11555,99,12,121701,1
11556,0,12,121702,1
11557,0,12,121702,2
11558,0,12,121703,1
11559,0,12,121703,2
11560,0,12,121703,3
11561,0,12,121704,1
11562,0,12,121705,1
11563,1,12,121706,1
11564,0,12,121707,1
11565,0,12,121707,2
11566,0,12,121708,1
11567,0,12,121709,1
11568,0,12,121709,2
11569,0,12,121710,1
11570,98,12,121711,1
11571,0,12,121711,2
11572,0,12,121711,3
11573,0,12,121712,1
11574,0,12,121713,1
11575,0,12,121714,1
11576,0,12,121715,1
11577,0,12,121715,2
11578,5,12,121716,1
11579,9,12,121717,1
11580,0,12,121717,2
11581,0,12,121718,1
11582,0,12,121719,1
11583,99,12,121720,1
11584,0,12,121721,1
11585,0,12,121721,2
11586,0,12,121722,1
11587,0,12,121722,2
11588,0,12,121723,1
11589,0,12,121723,2
11590,0,12,121724,1
11591,0,12,121724,2
11592,0,12,121725,1
11593,0,12,121725,2
11594,0,12,121726,1
11595,0,12,121726,2
11596,0,12,121727,1
11597,0,12,121728,1
11598,0,12,121728,2
11599,0,12,121729,1
11600,0,12,121730,1
11601,0,12,121730,2
11602,0,12,121731,1
11603,0,12,121731,2
11604,0,12,121732,1
11605,7,12,121732,2
11606,8,12,121732,2
11607,0,12,121734,1
11608,0,12,121734,2
11609,0,12,121735,1
11610,0,12,121736,1
11611,0,12,121737,1
11612,0,12,121737,2
11613,0,12,121738,1
11614,0,12,121738,2
11615,0,12,121738,3
11616,0,12,121738,4
11617,0,12,121738,5
11618,0,12,121739,1
11619,0,12,121740,1
11620,0,12,121740,2
11621,0,12,121741,1
11622,0,12,121742,1
11623,0,12,121742,2
11624,0,12,121743,1
11625,0,12,121743,2
11626,0,12,121744,1
11627,0,12,121745,1
11628,0,12,121746,1
11629,0,12,121747,1
11630,0,12,121748,1
11631,99,12,121749,1
11632,0,12,121750,1
11633,0,12,121751,1
11634,0,12,121751,2
11635,0,12,121752,1
11636,0,12,121753,1
11637,0,12,121753,2
11638,0,12,121754,1
11639,0,12,121754,2
11640,0,12,121755,1
11641,0,12,121756,1
11642,0,12,121757,1
11643,0,12,121757,2
11644,0,12,121757,3
11645,98,12,121758,1
11646,0,12,121758,2
11647,99,12,121759,1
11648,0,12,121759,2
11649,0,12,121760,1
11650,0,12,121761,1
11651,0,12,121761,2
11652,0,12,121762,1
11653,99,12,121763,1
11654,98,12,121764,1
11655,0,12,121765,1
11656,0,12,121766,1
11657,0,12,121767,1
11658,0,12,121768,1
11659,0,12,121768,2
11660,0,12,121768,3
11661,0,12,121769,1
11662,0,12,121770,1
11663,0,12,121770,2
11664,0,12,121771,1
11665,0,12,121771,2
11666,99,12,121772,1
11667,0,12,121772,2
11668,98,12,121773,1
11669,0,12,121774,1
11670,0,12,121775,1
11671,98,12,121776,1
11672,0,12,121777,1
11673,0,12,121778,1
11674,0,12,121778,2
11675,0,12,121778,3
11676,99,12,121779,1
11677,0,12,121780,1
11678,0,12,121781,1
11679,0,12,121781,2
11680,99,12,121782,1
11681,99,12,121783,1
11682,99,12,121783,2
11683,0,12,121784,1
11684,0,12,121784,2
11685,99,12,121785,1
11686,0,12,121785,2
11687,0,12,121785,3
11688,0,12,121786,1
11689,0,12,121786,2
11690,0,12,121787,1
11691,0,12,121787,2
11692,0,12,121788,1
11693,0,12,121789,1
11694,0,12,121789,2
11695,0,12,121790,1
11696,0,12,121791,1
11697,0,12,121792,1
11698,0,12,121792,2
11699,0,12,121793,1
11700,0,12,121794,1
11701,0,12,121795,1
11702,99,12,121796,1
11703,0,12,121797,1
11704,0,12,121797,2
11705,0,12,121798,1
11706,0,12,121799,1
11707,0,12,121799,2
11708,0,12,121800,1
11709,0,12,121800,2
11710,0,12,121801,1
11711,0,12,121801,2
11712,99,12,121802,1
11713,0,12,121802,2
11714,0,12,121803,1
11715,0,12,121804,1
11716,0,12,121805,1
11717,0,12,121805,2
11718,0,12,121806,1
11719,0,12,121807,1
11720,0,12,121808,1
11721,0,12,121809,1
11722,0,12,121810,1
11723,0,12,121810,2
11724,0,12,121810,3
11725,0,12,121810,4
11726,0,12,121811,1
11727,0,12,121811,2
11728,0,12,121812,1
11729,0,12,121813,1
11730,0,12,121813,2
11731,99,12,121814,1
11732,0,12,121815,1
11733,0,12,121816,1
11734,0,12,121816,2
11735,0,12,121817,1
11736,0,12,121817,2
11737,0,12,121818,1
11738,0,12,121818,2
11739,0,12,121819,1
11740,0,12,121819,2
11741,0,12,121820,1
11742,0,12,121820,2
11743,0,12,121820,3
11744,0,12,121821,1
11745,0,12,121821,2
11746,0,12,121822,1
11747,0,12,121823,1
11748,0,12,121824,1
11749,0,12,121824,2
11750,0,12,121825,1
11751,0,12,121826,1
11752,0,12,121826,2
11753,0,12,121827,1
11754,0,12,121828,1
11755,0,12,121829,1
11756,0,12,121829,2
11757,99,12,121830,1
11758,0,12,121831,1
11759,0,12,121831,2
11760,0,12,121832,1
11761,0,12,121832,2
11762,0,12,121833,1
11763,0,12,121834,1
11764,0,12,121835,1
11765,0,12,121836,1
11766,0,12,121836,2
11767,0,12,121837,1
11768,0,12,121838,1
11769,15,12,121839,1
11770,0,12,121839,2
11771,0,12,121840,1
11772,0,12,121840,2
11773,99,12,121841,1
11774,99,12,121841,2
11775,0,12,121842,1
11776,0,12,121842,2
11777,0,12,121843,1
11778,0,12,121843,2
11779,0,12,121843,3
11780,0,12,121843,4
11781,0,12,121843,5
11782,0,12,121844,1
11783,0,12,121844,2
11784,0,12,121845,1
11785,99,12,121846,1
11786,0,12,121847,1
11787,0,12,121847,2
11788,0,12,121848,1
11789,0,12,121849,1
11790,0,12,121850,1
11791,99,12,121851,1
11792,99,12,121851,2
11793,0,12,121852,1
11794,0,12,121852,2
11795,99,12,121853,1
11796,0,12,121854,1
11797,0,12,121855,1
11798,0,12,121856,1
11799,0,12,121857,1
11800,0,12,121858,1
11801,0,12,121858,2
11802,0,12,121859,1
11803,0,12,121859,2
11804,0,12,121860,1
11805,0,12,121860,2
11806,0,12,121861,1
